patient,span,first_slice,last_slice,px_first,px_last,px_peak,ratio_first,ratio_last,gap_to_other_span
AC0407F05FAF53,1,5,12,1816,915,2712,0.6696,0.3374,7
AC0407F05FAF53,2,20,25,977,1697,1732,0.5641,0.9798,7
AC045F8F6ACBA7,1,10,18,1884,376,2692,0.6999,0.1397,7
AC045F8F6ACBA7,2,26,32,1168,2285,2285,0.5112,1.0,7
AC0925B79D4836,1,4,11,1413,370,1524,0.9272,0.2428,5
AC0925B79D4836,2,17,24,325,1073,1094,0.2971,0.9808,5
AC0BA0AE159EF9,1,6,12,1859,1080,2082,0.8929,0.5187,7
AC0BA0AE159EF9,2,20,27,1129,2294,2851,0.396,0.8046,7
AC0CE315D5758B,1,6,13,1833,710,1951,0.9395,0.3639,5
AC0CE315D5758B,2,19,24,1247,1949,1949,0.6398,1.0,5
AC0CEE9C24F2B7,1,6,13,1228,680,2687,0.457,0.2531,3
AC0CEE9C24F2B7,2,17,24,1219,2256,2284,0.5337,0.9877,3
AC1638B3D9A430,1,4,9,588,472,912,0.6447,0.5175,4
AC1638B3D9A430,2,14,21,661,969,1228,0.5383,0.7891,4
AC1B16C5EBA405,1,5,12,923,662,1085,0.8507,0.6101,3
AC1B16C5EBA405,2,16,24,467,801,801,0.583,1.0,3
AC2089D56058F0,1,11,18,4770,2490,4770,1.0,0.522,4
AC2089D56058F0,2,23,29,2117,4080,4811,0.44,0.8481,4
AC242B1DC40419,1,7,14,1281,400,1746,0.7337,0.2291,2
AC242B1DC40419,2,17,25,547,2052,2285,0.2394,0.898,2
AC25B946B88F6A,1,6,13,2004,1722,3398,0.5898,0.5068,6
AC25B946B88F6A,2,20,27,1162,2744,2744,0.4235,1.0,6
AC29C3C6B4F385,1,6,12,3978,1520,3978,1.0,0.3821,5
AC29C3C6B4F385,2,18,28,606,3399,3399,0.1783,1.0,5
AC2A47E3CF3E07,1,6,13,4498,1462,4498,1.0,0.325,3
AC2A47E3CF3E07,2,17,25,717,2206,2206,0.325,1.0,3
AC2B0AA9AE767D,1,7,15,2403,1857,3403,0.7061,0.5457,4
AC2B0AA9AE767D,2,20,29,950,3374,3374,0.2816,1.0,4
AC2E254F52E467,1,4,19,453,128,548,0.8266,0.2336,1
AC2E254F52E467,2,21,34,140,469,469,0.2985,1.0,1
